sourceFile,description,amount,type,category,subcategory
amex-gold.csv,AMAZON.COM,33.99,debit,Shopping,Online Retail
amex-gold.csv,SWEETGREEN,18.2,debit,Dining,Fast Food
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1550,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,42.6,debit,Dining,Food Delivery
amex-gold.csv,DELTA AIR LINES,310,debit,Travel,Flight
amex-gold.csv,HILTON HOTELS,380,debit,Travel,Hotel
amex-gold.csv,SWEETGREEN,16.8,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,85.3,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,ANTHROPIC *API,38.7,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,UBER *TRIP,19.9,debit,Transport,Rideshare
amex-gold.csv,INSTACART,88.6,debit,Groceries,Grocery Delivery
amex-gold.csv,BLUE BOTTLE COFFEE,9.75,debit,Dining,Coffee Shop
amex-gold.csv,SWEETGREEN,17.4,debit,Dining,Fast Food
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1700,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,37.4,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,16.1,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,87.5,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,UBER *TRIP,23.8,debit,Transport,Rideshare
amex-gold.csv,ANTHROPIC *API,33.2,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,INSTACART,79.4,debit,Groceries,Grocery Delivery
amex-gold.csv,RESY *RESTAURANT,95,debit,Dining,Restaurant
amex-gold.csv,AMAZON.COM,78.88,debit,Shopping,Online Retail
amex-gold.csv,SWEETGREEN,17.9,debit,Dining,Fast Food
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,1450,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,45.8,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,17.5,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,118.4,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,AMAZON.COM,245,debit,Shopping,Online Retail
amex-gold.csv,ANTHROPIC *API,47.2,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,UBER *TRIP,28.4,debit,Transport,Rideshare
amex-gold.csv,INSTACART,105.6,debit,Groceries,Grocery Delivery
amex-gold.csv,DELTA AIR LINES,420,debit,Travel,Flight
amex-gold.csv,RESY *RESTAURANT,310,debit,Dining,Restaurant
amex-gold.csv,AMAZON.COM,189,debit,Shopping,Online Retail
amex-gold.csv,AUTOPAY PAYMENT - THANK YOU,2200,credit,Transfer,Transfer
amex-gold.csv,GRUBHUB INC,48.9,debit,Dining,Food Delivery
amex-gold.csv,SWEETGREEN,18.2,debit,Dining,Fast Food
amex-gold.csv,WHOLEFOODS #SF,145.8,debit,Groceries,Specialty Food
amex-gold.csv,ZOOM.US,14.99,debit,Subscriptions,Software/SaaS
amex-gold.csv,EQUINOX FITNESS,180,debit,Health,Gym
amex-gold.csv,AMAZON.COM,312,debit,Shopping,Online Retail
amex-gold.csv,ANTHROPIC *API,52.3,debit,Subscriptions,Software/SaaS
amex-gold.csv,NOTION.SO,8,debit,Subscriptions,Software/SaaS
amex-gold.csv,UBER *TRIP,34.2,debit,Transport,Rideshare
amex-gold.csv,INSTACART,128.4,debit,Groceries,Grocery Delivery
amex-gold.csv,DELTA AIR LINES,485,debit,Travel,Flight
amex-gold.csv,RESY *RESTAURANT,420,debit,Dining,Restaurant
amex-gold.csv,APPLE STORE,599,debit,Shopping,Electronics
bofa-credit-card.csv,WHOLEFDS MKT #10,87.43,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,68.2,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,42.99,debit,Shopping,Online Retail
bofa-credit-card.csv,UBER* PENDING,14.75,debit,Transport,Rideshare
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,PAYMENT THANK YOU,1200,credit,Transfer,Transfer
bofa-credit-card.csv,CVS PHARMACY,23.58,debit,Health,Pharmacy
bofa-credit-card.csv,STARBUCKS STORE 08432,6.75,debit,Dining,Coffee Shop
bofa-credit-card.csv,COMCAST CABLE COMM,109.99,debit,Housing,Internet/Cable
bofa-credit-card.csv,TRADER JOES #123,63.41,debit,Groceries,Specialty Food
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,18,credit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,12.85,debit,Dining,Fast Food
bofa-credit-card.csv,ATT*BILL PAYMENT,89,debit,Housing,Phone Bill
bofa-credit-card.csv,WHOLEFDS MKT #10,91.17,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,72.4,debit,Transport,Gas Station
bofa-credit-card.csv,HULU LLC,17.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,134,debit,Shopping,Online Retail
bofa-credit-card.csv,LYFT *RIDE,11.5,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1400,credit,Transfer,Transfer
bofa-credit-card.csv,TARGET STORE 00024831,57.32,debit,Shopping,Department Store
bofa-credit-card.csv,CHEESECAKE FACTORY,78.9,debit,Dining,Restaurant
bofa-credit-card.csv,COSTCO GAS #0472,58.2,debit,Transport,Gas Station
bofa-credit-card.csv,TRADER JOES #123,55.88,debit,Groceries,Specialty Food
bofa-credit-card.csv,PAYPAL *FREELANCE,350,credit,Income,Freelance
bofa-credit-card.csv,CVS PHARMACY,14.29,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DASHPASS,9.99,debit,Dining,Food Delivery
bofa-credit-card.csv,WHOLEFDS MKT #10,79.65,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,68.8,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,29.99,debit,Shopping,Online Retail
bofa-credit-card.csv,UBER EATS,34.2,debit,Dining,Food Delivery
bofa-credit-card.csv,STARBUCKS STORE 08432,7.25,debit,Dining,Coffee Shop
bofa-credit-card.csv,PAYMENT THANK YOU,1300,credit,Transfer,Transfer
bofa-credit-card.csv,COSTCO WHSE #0472,187.43,debit,Groceries,Warehouse Club
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,APPLE.COM/BILL,2.99,debit,Subscriptions,Software/SaaS
bofa-credit-card.csv,TRADER JOES #123,68.92,debit,Groceries,Specialty Food
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,DOORDASH*DOORDASH,28.5,debit,Dining,Food Delivery
bofa-credit-card.csv,ADOBE INC,54.99,debit,Subscriptions,Software/SaaS
bofa-credit-card.csv,WHOLEFDS MKT #10,86.4,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,COSTCO GAS #0472,62.1,debit,Transport,Gas Station
bofa-credit-card.csv,CHEESECAKE FACTORY,71.4,debit,Dining,Restaurant
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,56.78,debit,Shopping,Online Retail
bofa-credit-card.csv,UBER EATS,29.3,debit,Dining,Food Delivery
bofa-credit-card.csv,PAYMENT THANK YOU,1200,credit,Transfer,Transfer
bofa-credit-card.csv,TARGET STORE 00024831,103.44,debit,Shopping,Department Store
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,DOORDASH*DOORDASH,24.8,debit,Dining,Food Delivery
bofa-credit-card.csv,TRADER JOES #123,68.2,debit,Groceries,Specialty Food
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,CVS PHARMACY,18.75,debit,Health,Pharmacy
bofa-credit-card.csv,STARBUCKS STORE 08432,7.5,debit,Dining,Coffee Shop
bofa-credit-card.csv,MCDONALDS #4821,9.25,debit,Dining,Fast Food
bofa-credit-card.csv,WHOLEFDS MKT #10,91.22,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,66.8,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,78.99,debit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,13.45,debit,Dining,Fast Food
bofa-credit-card.csv,LYFT *RIDE,16.8,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1400,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,75.6,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,TARGET STORE 00024831,65.44,debit,Shopping,Department Store
bofa-credit-card.csv,DOORDASH*DOORDASH,31.5,debit,Dining,Food Delivery
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,STARBUCKS STORE 08432,8.25,debit,Dining,Coffee Shop
bofa-credit-card.csv,APPLE.COM/BILL,2.99,debit,Subscriptions,Software/SaaS
bofa-credit-card.csv,COSTCO GAS #0472,61.4,debit,Transport,Gas Station
bofa-credit-card.csv,WHOLEFDS MKT #10,88.75,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,COSTCO GAS #0472,67.2,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,44.33,debit,Shopping,Online Retail
bofa-credit-card.csv,SWEETGREEN,16.8,debit,Dining,Fast Food
bofa-credit-card.csv,LYFT *RIDE,14.5,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1350,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,71.3,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,UBER EATS,33.4,debit,Dining,Food Delivery
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,TARGET STORE 00024831,78.55,debit,Shopping,Department Store
bofa-credit-card.csv,STARBUCKS STORE 08432,7.75,debit,Dining,Coffee Shop
bofa-credit-card.csv,CVS PHARMACY,24.9,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DOORDASH,22.8,debit,Dining,Food Delivery
bofa-credit-card.csv,WHOLEFDS MKT #10,96.4,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,74.8,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,89.44,debit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,15.2,debit,Dining,Fast Food
bofa-credit-card.csv,COSTCO GAS #0472,68.3,debit,Transport,Gas Station
bofa-credit-card.csv,PAYMENT THANK YOU,1300,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,74.8,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,TOTAL WINE AND MORE,52.4,debit,Entertainment,Nightlife
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,TARGET STORE 00024831,71.22,debit,Shopping,Department Store
bofa-credit-card.csv,STARBUCKS STORE 08432,8,debit,Dining,Coffee Shop
bofa-credit-card.csv,UBER EATS,29.9,debit,Dining,Food Delivery
bofa-credit-card.csv,CVS PHARMACY,19.4,debit,Health,Pharmacy
bofa-credit-card.csv,WHOLEFDS MKT #10,89.9,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,COSTCO GAS #0472,71.6,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,127.5,debit,Shopping,Online Retail
bofa-credit-card.csv,SWEETGREEN,16.4,debit,Dining,Fast Food
bofa-credit-card.csv,LYFT *RIDE,18.2,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1500,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,77.3,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,CHEESECAKE FACTORY,84.6,debit,Dining,Restaurant
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,TARGET STORE 00024831,55.33,debit,Shopping,Department Store
bofa-credit-card.csv,STARBUCKS STORE 08432,8.75,debit,Dining,Coffee Shop
bofa-credit-card.csv,CVS PHARMACY,21.8,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DOORDASH,28.5,debit,Dining,Food Delivery
bofa-credit-card.csv,WHOLEFDS MKT #10,84.2,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,68.4,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,34.99,debit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,14.8,debit,Dining,Fast Food
bofa-credit-card.csv,COSTCO GAS #0472,65.9,debit,Transport,Gas Station
bofa-credit-card.csv,PAYMENT THANK YOU,1400,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,69.8,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,COSTCO WHSE #0472,168.44,debit,Groceries,Warehouse Club
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,TARGET STORE 00024831,82.55,debit,Shopping,Department Store
bofa-credit-card.csv,STARBUCKS STORE 08432,7.5,debit,Dining,Coffee Shop
bofa-credit-card.csv,CVS PHARMACY,28.9,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DOORDASH,24.8,debit,Dining,Food Delivery
bofa-credit-card.csv,WHOLEFDS MKT #10,92.3,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,COSTCO GAS #0472,73.2,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,67.44,debit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,15.3,debit,Dining,Fast Food
bofa-credit-card.csv,LYFT *RIDE,21.4,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1350,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,82.6,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,TARGET STORE 00024831,98.44,debit,Shopping,Department Store
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,STARBUCKS STORE 08432,8.25,debit,Dining,Coffee Shop
bofa-credit-card.csv,CVS PHARMACY,42.18,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DOORDASH,31.2,debit,Dining,Food Delivery
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,88.99,debit,Shopping,Online Retail
bofa-credit-card.csv,WHOLEFDS MKT #10,118.4,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,SHELL SERVICE STATION,72.8,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,156.78,debit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,15.9,debit,Dining,Fast Food
bofa-credit-card.csv,LYFT *RIDE,19.5,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1600,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,91.3,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,TARGET STORE 00024831,224.88,debit,Shopping,Department Store
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,STARBUCKS STORE 08432,9.25,debit,Dining,Coffee Shop
bofa-credit-card.csv,CVS PHARMACY,35.8,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DOORDASH,38.5,debit,Dining,Food Delivery
bofa-credit-card.csv,BEST BUY 00287,179.99,debit,Shopping,Electronics
bofa-credit-card.csv,WHOLEFDS MKT #10,122.5,debit,Groceries,Specialty Food
bofa-credit-card.csv,NETFLIX.COM,15.49,debit,Subscriptions,Streaming
bofa-credit-card.csv,COSTCO GAS #0472,70.3,debit,Transport,Gas Station
bofa-credit-card.csv,AMAZON MKTPLACE PMTS,287.44,debit,Shopping,Online Retail
bofa-credit-card.csv,CHIPOTLE MEXICAN,16.8,debit,Dining,Fast Food
bofa-credit-card.csv,LYFT *RIDE,24.8,debit,Transport,Rideshare
bofa-credit-card.csv,PAYMENT THANK YOU,1800,credit,Transfer,Transfer
bofa-credit-card.csv,TRADER JOES #123,98.4,debit,Groceries,Specialty Food
bofa-credit-card.csv,SPOTIFY USA,9.99,debit,Subscriptions,Streaming
bofa-credit-card.csv,TARGET STORE 00024831,144.55,debit,Shopping,Department Store
bofa-credit-card.csv,GYM MEMBERSHIP,44.99,debit,Health,Gym
bofa-credit-card.csv,STARBUCKS STORE 08432,11.5,debit,Dining,Coffee Shop
bofa-credit-card.csv,CVS PHARMACY,28.9,debit,Health,Pharmacy
bofa-credit-card.csv,DOORDASH*DOORDASH,34.8,debit,Dining,Food Delivery
bofa-credit-card.csv,BEST BUY 00287,229.99,debit,Shopping,Electronics
bofa-credit-card.csv,DELTA AIR LINES TICKET,389,debit,Travel,Flight
bofa-credit-card.csv,MARRIOTT SAN JOSE CONF CTR,312,debit,Travel,Hotel
bofa-credit-card.csv,OAK & VINE RESTAURANT,94.5,debit,Dining,Restaurant
bofa-credit-card.csv,AMAZON.COM OFFICE SUPPLIES,67.89,debit,Shopping,Online Retail
bofa-credit-card.csv,ASPEN DENTAL ASSOCIATES,425,debit,Health,Dentist
bofa-credit-card.csv,DELTA AIR LINES TICKET,445,debit,Travel,Flight
bofa-credit-card.csv,HILTON GARDEN INN,289,debit,Travel,Hotel
